Release Date,Time,Actual,Forecast,Previous
07-Aug-09,6:00,-44.5K,-20.0K,-7.4K
10-Jul-09,6:00,-7.4K,-40.3K,-41.8K
05-Jun-09,6:00,-41.8K,-37.0K,35.9K
08-May-09,6:00,35.9K,-49.7K,-61.3K
09-Apr-09,6:00,-61.3K,-54.3K,-82.6K
13-Mar-09,6:00,-82.6K,-50.0K,-129.0K
06-Feb-09,7:00,-129.0K,-40.0K,-20.4K
09-Jan-09,7:00,-34.4K,-21.0K,-70.6K
05-Dec-08,7:00,-70.6K,-21.0K,9.5K
07-Nov-08,7:00,9.5K,-10.0K,106.9K
10-Oct-08,6:00,106.9K,11.0K,15.2K
05-Sep-08,6:00,15.2K,9.0K,-55.2K
08-Aug-08,6:00,-55.2K,5.0K,-5.0K
11-Jul-08,6:00,-5.0K,10.0K,8.4K
06-Jun-08,7:00,8.4K,10.2K,19.2K
09-May-08,6:00,19.2K,10.0K,14.6K
04-Apr-08,6:00,14.6K,15.0K,43.3K
07-Mar-08,7:00,43.3K,3.0K,46.4K
"Feb 01, 2008 (Jan)",4:00,25.90K,,3.40K
"Jan 01, 2008 (Dec)",4:00,3.40K,,16.40K
"Dec 01, 2007 (Nov)",4:00,16.40K,,55.60K
"Nov 01, 2007 (Oct)",4:00,55.60K,,45.00K
"Oct 01, 2007 (Sep)",4:00,45.00K,,7.70K
"Sep 01, 2007 (Aug)",4:00,7.70K,,42.70K
"Aug 01, 2007 (Jul)",4:00,42.70K,,57.30K
"Jul 01, 2007 (Jun)",4:00,57.30K,,23.10K
"Jun 01, 2007 (May)",4:00,23.10K,,-15.00K
"May 01, 2007 (Apr)",4:00,-15.00K,,48.10K
"Apr 01, 2007 (Mar)",4:00,48.10K,,21.10K
"Mar 01, 2007 (Feb)",4:00,21.10K,,54.00K
"Feb 01, 2007 (Jan)",4:00,54.00K,,64.30K
"Jan 01, 2007 (Dec)",4:00,64.30K,,27.60K
"Dec 01, 2006 (Nov)",4:00,27.60K,,22.50K
"Nov 01, 2006 (Oct)",4:00,22.50K,,24.80K
"Oct 01, 2006 (Sep)",4:00,24.80K,,5.70K
"Sep 01, 2006 (Aug)",4:00,5.70K,,2.10K
"Aug 01, 2006 (Jul)",4:00,2.10K,,3.90K
"Jul 01, 2006 (Jun)",4:00,3.90K,,76.80K
"Jun 01, 2006 (May)",4:00,76.80K,,29.60K
"May 01, 2006 (Apr)",4:00,29.60K,,50.40K
"Apr 01, 2006 (Mar)",4:00,50.40K,,39.00K
"Mar 01, 2006 (Feb)",4:00,39.00K,,-12.80K
"Feb 01, 2006 (Jan)",4:00,-12.80K,,-6.40K
"Jan 01, 2006 (Dec)",4:00,-6.40K,,32.60K
"Dec 01, 2005 (Nov)",4:00,32.60K,,47.40K
"Nov 01, 2005 (Oct)",4:00,47.40K,,-13.40K
"Oct 01, 2005 (Sep)",4:00,-13.40K,,35.40K
"Sep 01, 2005 (Aug)",4:00,35.40K,,33.40K
"Aug 01, 2005 (Jul)",4:00,33.40K,,30.20K
"Jul 01, 2005 (Jun)",4:00,30.20K,,-0.80K
"Jun 01, 2005 (May)",4:00,-0.80K,,28.00K
"May 01, 2005 (Apr)",4:00,28.00K,,-3.90K
"Apr 01, 2005 (Mar)",4:00,-3.90K,,36.00K
"Mar 01, 2005 (Feb)",4:00,36.00K,,-3.00K
"Feb 01, 2005 (Jan)",4:00,-3.00K,,9.60K
"Jan 01, 2005 (Dec)",4:00,9.60K,,18.50K
"Dec 01, 2004 (Nov)",4:00,18.50K,,15.40K
"Nov 01, 2004 (Oct)",4:00,15.40K,,48.70K
"Oct 01, 2004 (Sep)",4:00,48.70K,,-8.30K
"Sep 01, 2004 (Aug)",4:00,-8.30K,,7.90K
"Aug 01, 2004 (Jul)",4:00,7.90K,,12.40K
"Jul 01, 2004 (Jun)",4:00,12.40K,,28.70K
"Jun 01, 2004 (May)",4:00,28.70K,,42.70K
"May 01, 2004 (Apr)",4:00,42.70K,,11.80K
"Apr 01, 2004 (Mar)",4:00,11.80K,,19.60K
"Mar 01, 2004 (Feb)",4:00,19.60K,,4.00K
"Feb 01, 2004 (Jan)",4:00,4.00K,,30.10K
"Jan 01, 2004 (Dec)",4:00,30.10K,,41.20K
"Dec 01, 2003 (Nov)",4:00,41.20K,,51.30K
"Nov 01, 2003 (Oct)",4:00,51.30K,,31.10K
"Oct 01, 2003 (Sep)",4:00,31.10K,,2.40K
"Sep 01, 2003 (Aug)",4:00,2.40K,,21.90K
"Aug 01, 2003 (Jul)",4:00,21.90K,,48.00K
"Jul 01, 2003 (Jun)",4:00,48.00K,,-16.50K
"Jun 01, 2003 (May)",4:00,-16.50K,,-1.30K
"May 01, 2003 (Apr)",4:00,-1.30K,,-1.20K
"Apr 01, 2003 (Mar)",4:00,-1.20K,,59.30K
"Mar 01, 2003 (Feb)",4:00,59.30K,,33.80K
"Feb 01, 2003 (Jan)",4:00,33.80K,,42.20K
"Jan 01, 2003 (Dec)",4:00,42.20K,,39.20K
"Dec 01, 2002 (Nov)",4:00,39.20K,,2.80K
"Nov 01, 2002 (Oct)",4:00,2.80K,,8.20K
"Oct 01, 2002 (Sep)",4:00,8.20K,,80.90K
"Sep 01, 2002 (Aug)",4:00,80.90K,,45.80K
"Aug 01, 2002 (Jul)",4:00,45.80K,,62.50K
"Jul 01, 2002 (Jun)",4:00,62.50K,,53.50K
"Jun 01, 2002 (May)",4:00,53.50K,,61.40K
"May 01, 2002 (Apr)",4:00,61.40K,,67.70K
"Apr 01, 2002 (Mar)",4:00,67.70K,,19.00K
"Mar 01, 2002 (Feb)",4:00,19.00K,,58.20K
"Feb 01, 2002 (Jan)",4:00,58.20K,,-24.70K
"Jan 01, 2002 (Dec)",4:00,-24.70K,,13.40K
"Dec 01, 2001 (Nov)",4:00,13.40K,,4.10K
"Nov 01, 2001 (Oct)",4:00,4.10K,,24.30K
"Oct 01, 2001 (Sep)",4:00,24.30K,,2.20K
"Sep 01, 2001 (Aug)",4:00,2.20K,,23.80K
"Aug 01, 2001 (Jul)",4:00,23.80K,,-23.70K
"Jul 01, 2001 (Jun)",4:00,-23.70K,,23.90K
"Jun 01, 2001 (May)",4:00,23.90K,,33.60K
"May 01, 2001 (Apr)",4:00,33.60K,,4.80K
"Apr 01, 2001 (Mar)",4:00,4.80K,,-10.50K
"Mar 01, 2001 (Feb)",4:00,-10.50K,,-25.60K
"Feb 01, 2001 (Jan)",4:00,-25.60K,,48.60K
"Jan 01, 2001 (Dec)",4:00,48.60K,,36.10K
"Dec 01, 2000 (Nov)",4:00,36.10K,,23.10K
"Nov 01, 2000 (Oct)",4:00,23.10K,,41.90K
"Oct 01, 2000 (Sep)",4:00,41.90K,,19.90K
"Sep 01, 2000 (Aug)",4:00,19.90K,,3.60K
"Aug 01, 2000 (Jul)",4:00,3.60K,,10.40K
"Jul 01, 2000 (Jun)",4:00,10.40K,,13.70K
"Jun 01, 2000 (May)",4:00,13.70K,,25.20K
"May 01, 2000 (Apr)",4:00,25.20K,,25.30K
"Apr 01, 2000 (Mar)",4:00,25.30K,,19.50K
"Mar 01, 2000 (Feb)",4:00,19.50K,,41.40K
"Feb 01, 2000 (Jan)",4:00,41.40K,,61.90K
"Jan 01, 2000 (Dec)",4:00,61.90K,,34.70K
"Dec 01, 1999 (Nov)",4:00,34.70K,,40.10K
"Nov 01, 1999 (Oct)",4:00,40.10K,,22.80K
"Oct 01, 1999 (Sep)",4:00,22.80K,,20.90K
"Sep 01, 1999 (Aug)",4:00,20.90K,,57.90K
"Aug 01, 1999 (Jul)",4:00,57.90K,,20.30K
"Jul 01, 1999 (Jun)",4:00,20.30K,,36.10K
"Jun 01, 1999 (May)",4:00,36.10K,,37.90K
"May 01, 1999 (Apr)",4:00,37.90K,,15.40K
"Apr 01, 1999 (Mar)",4:00,15.40K,,-10.00K
"Mar 01, 1999 (Feb)",4:00,-10.00K,,73.30K
"Feb 01, 1999 (Jan)",4:00,73.30K,,1.10K
"Jan 01, 1999 (Dec)",4:00,1.10K,,39.50K
"Dec 01, 1998 (Nov)",4:00,39.50K,,18.70K
"Nov 01, 1998 (Oct)",4:00,18.70K,,39.00K
"Oct 01, 1998 (Sep)",4:00,39.00K,,37.90K
"Sep 01, 1998 (Aug)",4:00,37.90K,,58.00K
"Aug 01, 1998 (Jul)",4:00,58.00K,,12.50K
"Jul 01, 1998 (Jun)",4:00,12.50K,,15.70K
"Jun 01, 1998 (May)",4:00,15.70K,,28.20K
"May 01, 1998 (Apr)",4:00,28.20K,,34.90K
"Apr 01, 1998 (Mar)",4:00,34.90K,,49.70K
"Mar 01, 1998 (Feb)",4:00,49.70K,,-10.10K
"Feb 01, 1998 (Jan)",4:00,-10.10K,,15.40K
"Jan 01, 1998 (Dec)",4:00,15.40K,,26.40K
"Dec 01, 1997 (Nov)",4:00,26.40K,,17.20K
"Nov 01, 1997 (Oct)",4:00,17.20K,,17.00K
"Oct 01, 1997 (Sep)",4:00,17.00K,,67.40K
"Sep 01, 1997 (Aug)",4:00,67.40K,,41.50K
"Aug 01, 1997 (Jul)",4:00,41.50K,,52.80K
"Jul 01, 1997 (Jun)",4:00,52.80K,,66.00K
"Jun 01, 1997 (May)",4:00,66.00K,,1.40K
"May 01, 1997 (Apr)",4:00,1.40K,,31.70K
"Apr 01, 1997 (Mar)",4:00,31.70K,,2.20K
"Mar 01, 1997 (Feb)",4:00,2.20K,,70.20K
"Feb 01, 1997 (Jan)",4:00,70.20K,,24.20K
"Jan 01, 1997 (Dec)",4:00,24.20K,,28.70K
"Dec 01, 1996 (Nov)",4:00,28.70K,,-1.60K
"Nov 01, 1996 (Oct)",4:00,-1.60K,,-42.20K
"Oct 01, 1996 (Sep)",4:00,-42.20K,,16.20K
"Sep 01, 1996 (Aug)",4:00,16.20K,,27.50K
"Aug 01, 1996 (Jul)",4:00,27.50K,,-12.70K
"Jul 01, 1996 (Jun)",4:00,-12.70K,,21.50K
"Jun 01, 1996 (May)",4:00,21.50K,,26.90K
"May 01, 1996 (Apr)",4:00,26.90K,,-22.20K
"Apr 01, 1996 (Mar)",4:00,-22.20K,,24.90K
"Mar 01, 1996 (Feb)",4:00,24.90K,,17.70K
"Feb 01, 1996 (Jan)",4:00,17.70K,,41.80K
"Jan 01, 1996 (Dec)",4:00,41.80K,,-32.00K
"Dec 01, 1995 (Nov)",4:00,-32.00K,,15.80K
"Nov 01, 1995 (Oct)",4:00,15.80K,,33.40K
"Oct 01, 1995 (Sep)",4:00,33.40K,,17.20K
"Sep 01, 1995 (Aug)",4:00,17.20K,,2.40K
"Aug 01, 1995 (Jul)",4:00,2.40K,,12.40K
"Jul 01, 1995 (Jun)",4:00,12.40K,,-3.10K
"Jun 01, 1995 (May)",4:00,-3.10K,,-21.60K
"May 01, 1995 (Apr)",4:00,-21.60K,,28.20K
"Apr 01, 1995 (Mar)",4:00,28.20K,,-7.20K
"Mar 01, 1995 (Feb)",4:00,-7.20K,,23.70K
"Feb 01, 1995 (Jan)",4:00,23.70K,,-13.40K
"Jan 01, 1995 (Dec)",4:00,-13.40K,,90.40K
