Release Date,Time,Actual,Forecast,Previous
"Sep 01, 1981 (Aug)",4:00,17.40K,,-39.20K
"Aug 01, 1981 (Jul)",4:00,-39.20K,,29.80K
"Jul 01, 1981 (Jun)",4:00,29.80K,,30.00K
"Jun 01, 1981 (May)",4:00,30.00K,,37.10K
"May 01, 1981 (Apr)",4:00,37.10K,,-4.60K
"Apr 01, 1981 (Mar)",4:00,-4.60K,,76.80K
"Mar 01, 1981 (Feb)",4:00,76.80K,,66.50K
"Feb 01, 1981 (Jan)",4:00,66.50K,,13.00K
"Jan 01, 1981 (Dec)",4:00,13.00K,,43.90K
"Dec 01, 1980 (Nov)",4:00,43.90K,,31.20K
"Nov 01, 1980 (Oct)",4:00,31.20K,,81.60K
"Oct 01, 1980 (Sep)",4:00,81.60K,,35.30K
"Sep 01, 1980 (Aug)",4:00,35.30K,,-1.80K
"Aug 01, 1980 (Jul)",4:00,-1.80K,,45.20K
"Jul 01, 1980 (Jun)",4:00,45.20K,,-46.70K
"Jun 01, 1980 (May)",4:00,-46.70K,,40.50K
"May 01, 1980 (Apr)",4:00,40.50K,,-5.10K
"Apr 01, 1980 (Mar)",4:00,-5.10K,,20.30K
"Mar 01, 1980 (Feb)",4:00,20.30K,,22.70K
"Feb 01, 1980 (Jan)",4:00,22.70K,,18.60K
"Jan 01, 1980 (Dec)",4:00,18.60K,,32.30K
"Dec 01, 1979 (Nov)",4:00,32.30K,,52.50K
"Nov 01, 1979 (Oct)",4:00,52.50K,,14.40K
"Oct 01, 1979 (Sep)",4:00,14.40K,,40.00K
"Sep 01, 1979 (Aug)",4:00,40.00K,,56.70K
"Aug 01, 1979 (Jul)",4:00,56.70K,,34.00K
"Jul 01, 1979 (Jun)",4:00,34.00K,,50.60K
"Jun 01, 1979 (May)",4:00,50.60K,,24.90K
"May 01, 1979 (Apr)",4:00,24.90K,,45.90K
"Apr 01, 1979 (Mar)",4:00,45.90K,,6.90K
"Mar 01, 1979 (Feb)",4:00,6.90K,,54.80K
"Feb 01, 1979 (Jan)",4:00,54.80K,,41.10K
"Jan 01, 1979 (Dec)",4:00,41.10K,,18.40K
"Dec 01, 1978 (Nov)",4:00,18.40K,,63.30K
"Nov 01, 1978 (Oct)",4:00,63.30K,,18.00K
"Oct 01, 1978 (Sep)",4:00,18.00K,,32.50K
"Sep 01, 1978 (Aug)",4:00,32.50K,,47.40K
"Aug 01, 1978 (Jul)",4:00,47.40K,,60.90K
"Jul 01, 1978 (Jun)",4:00,60.90K,,18.00K
"Jun 01, 1978 (May)",4:00,18.00K,,28.40K
"May 01, 1978 (Apr)",4:00,28.40K,,32.80K
"Apr 01, 1978 (Mar)",4:00,32.80K,,54.50K
"Mar 01, 1978 (Feb)",4:00,54.50K,,10.70K
"Feb 01, 1978 (Jan)",4:00,10.70K,,26.00K
"Jan 01, 1978 (Dec)",4:00,26.00K,,14.20K
"Dec 01, 1977 (Nov)",4:00,14.20K,,25.10K
"Nov 01, 1977 (Oct)",4:00,25.10K,,0.40K
"Oct 01, 1977 (Sep)",4:00,0.40K,,25.20K
"Sep 01, 1977 (Aug)",4:00,25.20K,,4.50K
"Aug 01, 1977 (Jul)",4:00,4.50K,,-5.10K
"Jul 01, 1977 (Jun)",4:00,-5.10K,,19.40K
"Jun 01, 1977 (May)",4:00,19.40K,,26.90K
"May 01, 1977 (Apr)",4:00,26.90K,,-8.50K
"Apr 01, 1977 (Mar)",4:00,-8.50K,,4.90K
"Mar 01, 1977 (Feb)",4:00,4.90K,,6.70K
"Feb 01, 1977 (Jan)",4:00,6.70K,,33.60K
"Jan 01, 1977 (Dec)",4:00,33.60K,,46.50K
"Dec 01, 1976 (Nov)",4:00,46.50K,,-12.70K
"Nov 01, 1976 (Oct)",4:00,-12.70K,,14.70K
"Oct 01, 1976 (Sep)",4:00,14.70K,,21.00K
"Sep 01, 1976 (Aug)",4:00,21.00K,,11.20K
"Aug 01, 1976 (Jul)",4:00,11.20K,,22.20K
"Jul 01, 1976 (Jun)",4:00,22.20K,,-12.10K
"Jun 01, 1976 (May)",4:00,-12.10K,,34.00K
"May 01, 1976 (Apr)",4:00,34.00K,,44.40K
"Apr 01, 1976 (Mar)",4:00,44.40K,,23.10K
"Mar 01, 1976 (Feb)",4:00,23.10K,,
