Release Date,Time,Actual,Forecast,Previous
"Apr 01, 1982 (Mar)",4:00,0.00%,,1.50%
"Mar 01, 1982 (Feb)",4:00,1.50%,,3.60%
"Feb 01, 1982 (Jan)",4:00,3.60%,,-3.50%
"Jan 01, 1982 (Dec)",4:00,-3.50%,,-1.10%
"Dec 01, 1981 (Nov)",4:00,-1.10%,,2.60%
"Nov 01, 1981 (Oct)",4:00,2.60%,,-0.70%
"Oct 01, 1981 (Sep)",4:00,-0.70%,,0.00%
"Sep 01, 1981 (Aug)",4:00,0.00%,,1.80%
"Aug 01, 1981 (Jul)",4:00,1.80%,,4.40%
"Jul 01, 1981 (Jun)",4:00,4.40%,,1.40%
"Jun 01, 1981 (May)",4:00,1.40%,,0.00%
"May 01, 1981 (Apr)",4:00,0.00%,,0.90%
"Apr 01, 1981 (Mar)",4:00,0.90%,,-0.90%
"Mar 01, 1981 (Feb)",4:00,-0.90%,,
