Release Date,Time,Actual,Forecast,Previous
30-Sep-09,7:30,3.70%,3.00%,-3.90%
28-Aug-09,7:30,-3.80%,-4.90%,6.20%
30-Jul-09,7:30,6.20%,3.50%,2.20%
30-Jun-09,7:30,2.20%,2.00%,-0.30%
14-May-09,7:30,-0.50%,6.50%,12.10%
30-Apr-09,7:30,12.10%,2.50%,1.60%
31-Mar-09,7:30,1.70%,0.50%,1.40%
27-Feb-09,8:30,1.40%,-2.20%,-15.40%
29-Jan-09,8:30,-15.40%,-10.10%,-13.40%
06-Dec-08,8:30,-13.40%,-8.30%,-12.50%
28-Nov-08,8:30,-12.50%,-7.50%,-7.20%
30-Oct-08,7:30,-7.20%,-4.80%,-7.70%
30-Sep-08,7:30,-7.70%,-3.30%,1.40%
29-Aug-08,7:30,1.40%,0.20%,4.40%
30-Jul-08,7:30,4.40%,3.30%,3.10%
27-Jun-08,7:30,3.10%,5.10%,5.10%
30-May-08,8:30,5.10%,2.80%,6.60%
30-Apr-08,7:30,6.60%,1.90%,0.50%
06-Mar-08,7:30,0.50%,2.60%,3.40%
29-Feb-08,8:30,3.40%,0.70%,0.20%
"Jan 01, 2008 (Dec)",4:00,0.90%,,3.00%
"Dec 01, 2007 (Nov)",4:00,3.00%,,0.50%
"Nov 01, 2007 (Oct)",4:00,0.50%,,-0.80%
"Oct 01, 2007 (Sep)",4:00,-0.80%,,-2.90%
"Sep 01, 2007 (Aug)",4:00,-2.90%,,3.60%
"Aug 01, 2007 (Jul)",4:00,3.60%,,0.30%
"Jul 01, 2007 (Jun)",4:00,0.30%,,-0.40%
"Jun 01, 2007 (May)",4:00,-0.40%,,3.60%
"May 01, 2007 (Apr)",4:00,3.60%,,2.30%
"Apr 01, 2007 (Mar)",4:00,2.30%,,3.30%
"Mar 01, 2007 (Feb)",4:00,3.30%,,-2.80%
"Feb 01, 2007 (Jan)",4:00,-2.80%,,5.00%
"Jan 01, 2007 (Dec)",4:00,5.00%,,0.20%
"Dec 01, 2006 (Nov)",4:00,0.20%,,-2.70%
"Nov 01, 2006 (Oct)",4:00,-2.70%,,-5.50%
"Oct 01, 2006 (Sep)",4:00,-5.50%,,-3.90%
"Sep 01, 2006 (Aug)",4:00,-3.90%,,5.40%
"Aug 01, 2006 (Jul)",4:00,5.40%,,-2.50%
"Jul 01, 2006 (Jun)",4:00,-2.50%,,6.70%
"Jun 01, 2006 (May)",4:00,6.70%,,6.20%
"May 01, 2006 (Apr)",4:00,6.20%,,1.00%
"Apr 01, 2006 (Mar)",4:00,1.00%,,-3.00%
"Mar 01, 2006 (Feb)",4:00,-3.00%,,4.80%
"Feb 01, 2006 (Jan)",4:00,4.80%,,-1.30%
"Jan 01, 2006 (Dec)",4:00,-1.30%,,-1.40%
"Dec 01, 2005 (Nov)",4:00,-1.40%,,-1.10%
"Nov 01, 2005 (Oct)",4:00,-1.10%,,-0.30%
"Oct 01, 2005 (Sep)",4:00,-0.30%,,4.80%
"Sep 01, 2005 (Aug)",4:00,4.80%,,1.50%
"Aug 01, 2005 (Jul)",4:00,1.50%,,5.20%
"Jul 01, 2005 (Jun)",4:00,5.20%,,-3.30%
"Jun 01, 2005 (May)",4:00,-3.30%,,-1.20%
"May 01, 2005 (Apr)",4:00,-1.20%,,6.10%
"Apr 01, 2005 (Mar)",4:00,6.10%,,3.00%
"Mar 01, 2005 (Feb)",4:00,3.00%,,4.90%
"Feb 01, 2005 (Jan)",4:00,4.90%,,-4.60%
"Jan 01, 2005 (Dec)",4:00,-4.60%,,-5.30%
"Dec 01, 2004 (Nov)",4:00,-5.30%,,4.30%
"Nov 01, 2004 (Oct)",4:00,4.30%,,-0.40%
"Oct 01, 2004 (Sep)",4:00,-0.40%,,3.60%
"Sep 01, 2004 (Aug)",4:00,3.60%,,1.50%
"Aug 01, 2004 (Jul)",4:00,1.50%,,-1.20%
"Jul 01, 2004 (Jun)",4:00,-1.20%,,2.70%
"Jun 01, 2004 (May)",4:00,2.70%,,-0.30%
"May 01, 2004 (Apr)",4:00,-0.30%,,4.30%
"Apr 01, 2004 (Mar)",4:00,4.30%,,4.20%
"Mar 01, 2004 (Feb)",4:00,4.20%,,3.20%
"Feb 01, 2004 (Jan)",4:00,3.20%,,2.70%
"Jan 01, 2004 (Dec)",4:00,2.70%,,1.60%
"Dec 01, 2003 (Nov)",4:00,1.60%,,1.00%
"Nov 01, 2003 (Oct)",4:00,1.00%,,-2.40%
"Oct 01, 2003 (Sep)",4:00,-2.40%,,0.80%
"Sep 01, 2003 (Aug)",4:00,0.80%,,-2.00%
"Aug 01, 2003 (Jul)",4:00,-2.00%,,-1.10%
"Jul 01, 2003 (Jun)",4:00,-1.10%,,-3.00%
"Jun 01, 2003 (May)",4:00,-3.00%,,-6.80%
"May 01, 2003 (Apr)",4:00,-6.80%,,-4.00%
"Apr 01, 2003 (Mar)",4:00,-4.00%,,3.50%
"Mar 01, 2003 (Feb)",4:00,3.50%,,5.40%
"Feb 01, 2003 (Jan)",4:00,5.40%,,4.40%
"Jan 01, 2003 (Dec)",4:00,4.40%,,-3.20%
"Dec 01, 2002 (Nov)",4:00,-3.20%,,0.30%
"Nov 01, 2002 (Oct)",4:00,0.30%,,2.70%
"Oct 01, 2002 (Sep)",4:00,2.70%,,1.20%
"Sep 01, 2002 (Aug)",4:00,1.20%,,1.90%
"Aug 01, 2002 (Jul)",4:00,1.90%,,-2.30%
"Jul 01, 2002 (Jun)",4:00,-2.30%,,1.20%
"Jun 01, 2002 (May)",4:00,1.20%,,1.10%
"May 01, 2002 (Apr)",4:00,1.10%,,5.40%
"Apr 01, 2002 (Mar)",4:00,5.40%,,2.40%
"Mar 01, 2002 (Feb)",4:00,2.40%,,2.10%
"Feb 01, 2002 (Jan)",4:00,2.10%,,-1.00%
"Jan 01, 2002 (Dec)",4:00,-1.00%,,-3.10%
"Dec 01, 2001 (Nov)",4:00,-3.10%,,-5.20%
"Nov 01, 2001 (Oct)",4:00,-5.20%,,-3.00%
"Oct 01, 2001 (Sep)",4:00,-3.00%,,0.00%
"Sep 01, 2001 (Aug)",4:00,0.00%,,-1.80%
"Aug 01, 2001 (Jul)",4:00,-1.80%,,-2.30%
"Jul 01, 2001 (Jun)",4:00,-2.30%,,0.30%
"Jun 01, 2001 (May)",4:00,0.30%,,-0.60%
"May 01, 2001 (Apr)",4:00,-0.60%,,-0.30%
"Apr 01, 2001 (Mar)",4:00,-0.30%,,0.90%
"Mar 01, 2001 (Feb)",4:00,0.90%,,1.60%
"Feb 01, 2001 (Jan)",4:00,1.60%,,-5.50%
"Jan 01, 2001 (Dec)",4:00,-5.50%,,2.10%
"Dec 01, 2000 (Nov)",4:00,2.10%,,0.60%
"Nov 01, 2000 (Oct)",4:00,0.60%,,3.60%
"Oct 01, 2000 (Sep)",4:00,3.60%,,2.30%
"Sep 01, 2000 (Aug)",4:00,2.30%,,-1.50%
"Aug 01, 2000 (Jul)",4:00,-1.50%,,2.50%
"Jul 01, 2000 (Jun)",4:00,2.50%,,5.90%
"Jun 01, 2000 (May)",4:00,5.90%,,-5.80%
"May 01, 2000 (Apr)",4:00,-5.80%,,1.90%
"Apr 01, 2000 (Mar)",4:00,1.90%,,2.90%
"Mar 01, 2000 (Feb)",4:00,2.90%,,0.80%
"Feb 01, 2000 (Jan)",4:00,0.80%,,3.70%
"Jan 01, 2000 (Dec)",4:00,3.70%,,3.10%
"Dec 01, 1999 (Nov)",4:00,3.10%,,-0.90%
"Nov 01, 1999 (Oct)",4:00,-0.90%,,3.80%
"Oct 01, 1999 (Sep)",4:00,3.80%,,3.10%
"Sep 01, 1999 (Aug)",4:00,3.10%,,3.80%
"Aug 01, 1999 (Jul)",4:00,3.80%,,-0.60%
"Jul 01, 1999 (Jun)",4:00,-0.60%,,1.30%
"Jun 01, 1999 (May)",4:00,1.30%,,3.80%
"May 01, 1999 (Apr)",4:00,3.80%,,4.60%
"Apr 01, 1999 (Mar)",4:00,4.60%,,-0.60%
"Mar 01, 1999 (Feb)",4:00,-0.60%,,3.20%
"Feb 01, 1999 (Jan)",4:00,3.20%,,-3.90%
"Jan 01, 1999 (Dec)",4:00,-3.90%,,-2.60%
"Dec 01, 1998 (Nov)",4:00,-2.60%,,-0.20%
"Nov 01, 1998 (Oct)",4:00,-0.20%,,1.00%
"Oct 01, 1998 (Sep)",4:00,1.00%,,-0.80%
"Sep 01, 1998 (Aug)",4:00,-0.80%,,0.40%
"Aug 01, 1998 (Jul)",4:00,0.40%,,-3.10%
"Jul 01, 1998 (Jun)",4:00,-3.10%,,-0.40%
"Jun 01, 1998 (May)",4:00,-0.40%,,1.80%
"May 01, 1998 (Apr)",4:00,1.80%,,-2.70%
"Apr 01, 1998 (Mar)",4:00,-2.70%,,-1.70%
"Mar 01, 1998 (Feb)",4:00,-1.70%,,-2.90%
"Feb 01, 1998 (Jan)",4:00,-2.90%,,-3.70%
"Jan 01, 1998 (Dec)",4:00,-3.70%,,-1.20%
"Dec 01, 1997 (Nov)",4:00,-1.20%,,0.70%
"Nov 01, 1997 (Oct)",4:00,0.70%,,-1.70%
"Oct 01, 1997 (Sep)",4:00,-1.70%,,0.30%
"Sep 01, 1997 (Aug)",4:00,0.30%,,0.20%
"Aug 01, 1997 (Jul)",4:00,0.20%,,-2.40%
"Jul 01, 1997 (Jun)",4:00,-2.40%,,2.30%
"Jun 01, 1997 (May)",4:00,2.30%,,-2.20%
"May 01, 1997 (Apr)",4:00,-2.20%,,-0.70%
"Apr 01, 1997 (Mar)",4:00,-0.70%,,-1.50%
"Mar 01, 1997 (Feb)",4:00,-1.50%,,0.20%
"Feb 01, 1997 (Jan)",4:00,0.20%,,2.20%
"Jan 01, 1997 (Dec)",4:00,2.20%,,-1.30%
"Dec 01, 1996 (Nov)",4:00,-1.30%,,0.30%
"Nov 01, 1996 (Oct)",4:00,0.30%,,0.80%
"Oct 01, 1996 (Sep)",4:00,0.80%,,1.20%
"Sep 01, 1996 (Aug)",4:00,1.20%,,0.30%
"Aug 01, 1996 (Jul)",4:00,0.30%,,-2.20%
"Jul 01, 1996 (Jun)",4:00,-2.20%,,0.30%
"Jun 01, 1996 (May)",4:00,0.30%,,2.60%
"May 01, 1996 (Apr)",4:00,2.60%,,3.20%
"Apr 01, 1996 (Mar)",4:00,3.20%,,0.90%
"Mar 01, 1996 (Feb)",4:00,0.90%,,-0.50%
"Feb 01, 1996 (Jan)",4:00,-0.50%,,3.20%
"Jan 01, 1996 (Dec)",4:00,3.20%,,0.40%
"Dec 01, 1995 (Nov)",4:00,0.40%,,-2.90%
"Nov 01, 1995 (Oct)",4:00,-2.90%,,-2.10%
"Oct 01, 1995 (Sep)",4:00,-2.10%,,-0.50%
"Sep 01, 1995 (Aug)",4:00,-0.50%,,-1.20%
"Aug 01, 1995 (Jul)",4:00,-1.20%,,0.00%
"Jul 01, 1995 (Jun)",4:00,0.00%,,-0.70%
"Jun 01, 1995 (May)",4:00,-0.70%,,0.50%
"May 01, 1995 (Apr)",4:00,0.50%,,0.30%
"Apr 01, 1995 (Mar)",4:00,0.30%,,1.20%
"Mar 01, 1995 (Feb)",4:00,1.20%,,3.10%
"Feb 01, 1995 (Jan)",4:00,3.10%,,0.70%
"Jan 01, 1995 (Dec)",4:00,0.70%,,3.00%
"Dec 01, 1994 (Nov)",4:00,3.00%,,1.30%
"Nov 01, 1994 (Oct)",4:00,1.30%,,-2.60%
"Oct 01, 1994 (Sep)",4:00,-2.60%,,-0.20%
"Sep 01, 1994 (Aug)",4:00,-0.20%,,1.50%
"Aug 01, 1994 (Jul)",4:00,1.50%,,1.90%
"Jul 01, 1994 (Jun)",4:00,1.90%,,3.20%
"Jun 01, 1994 (May)",4:00,3.20%,,3.50%
"May 01, 1994 (Apr)",4:00,3.50%,,0.80%
"Apr 01, 1994 (Mar)",4:00,0.80%,,2.50%
"Mar 01, 1994 (Feb)",4:00,2.50%,,1.70%
"Feb 01, 1994 (Jan)",4:00,1.70%,,-1.10%
"Jan 01, 1994 (Dec)",4:00,-1.10%,,-2.10%
"Dec 01, 1993 (Nov)",4:00,-2.10%,,0.00%
"Nov 01, 1993 (Oct)",4:00,0.00%,,-0.60%
"Oct 01, 1993 (Sep)",4:00,-0.60%,,0.20%
"Sep 01, 1993 (Aug)",4:00,0.20%,,-1.80%
"Aug 01, 1993 (Jul)",4:00,-1.80%,,0.00%
"Jul 01, 1993 (Jun)",4:00,0.00%,,1.70%
"Jun 01, 1993 (May)",4:00,1.70%,,1.10%
"May 01, 1993 (Apr)",4:00,1.10%,,1.30%
"Apr 01, 1993 (Mar)",4:00,1.30%,,1.70%
"Mar 01, 1993 (Feb)",4:00,1.70%,,-0.60%
"Feb 01, 1993 (Jan)",4:00,-0.60%,,-1.10%
"Jan 01, 1993 (Dec)",4:00,-1.10%,,1.50%
"Dec 01, 1992 (Nov)",4:00,1.50%,,-1.10%
"Nov 01, 1992 (Oct)",4:00,-1.10%,,2.00%
"Oct 01, 1992 (Sep)",4:00,2.00%,,-0.60%
"Sep 01, 1992 (Aug)",4:00,-0.60%,,-0.20%
"Aug 01, 1992 (Jul)",4:00,-0.20%,,2.40%
"Jul 01, 1992 (Jun)",4:00,2.40%,,3.20%
"Jun 01, 1992 (May)",4:00,3.20%,,1.40%
"May 01, 1992 (Apr)",4:00,1.40%,,0.20%
"Apr 01, 1992 (Mar)",4:00,0.20%,,2.60%
"Mar 01, 1992 (Feb)",4:00,2.60%,,-1.40%
"Feb 01, 1992 (Jan)",4:00,-1.40%,,-3.00%
"Jan 01, 1992 (Dec)",4:00,-3.00%,,0.20%
"Dec 01, 1991 (Nov)",4:00,0.20%,,0.70%
"Nov 01, 1991 (Oct)",4:00,0.70%,,-0.90%
"Oct 01, 1991 (Sep)",4:00,-0.90%,,0.20%
"Sep 01, 1991 (Aug)",4:00,0.20%,,-0.70%
"Aug 01, 1991 (Jul)",4:00,-0.70%,,0.20%
"Jul 01, 1991 (Jun)",4:00,0.20%,,-1.30%
"Jun 01, 1991 (May)",4:00,-1.30%,,-2.00%
"May 01, 1991 (Apr)",4:00,-2.00%,,-4.00%
"Apr 01, 1991 (Mar)",4:00,-4.00%,,-5.20%
"Mar 01, 1991 (Feb)",4:00,-5.20%,,-2.70%
"Feb 01, 1991 (Jan)",4:00,-2.70%,,-3.90%
"Jan 01, 1991 (Dec)",4:00,-3.90%,,0.40%
"Dec 01, 1990 (Nov)",4:00,0.40%,,5.80%
"Nov 01, 1990 (Oct)",4:00,5.80%,,7.70%
"Oct 01, 1990 (Sep)",4:00,7.70%,,6.40%
"Sep 01, 1990 (Aug)",4:00,6.40%,,-0.50%
"Aug 01, 1990 (Jul)",4:00,-0.50%,,-2.20%
"Jul 01, 1990 (Jun)",4:00,-2.20%,,-0.20%
"Jun 01, 1990 (May)",4:00,-0.20%,,-2.60%
"May 01, 1990 (Apr)",4:00,-2.60%,,0.00%
"Apr 01, 1990 (Mar)",4:00,0.00%,,2.60%
"Mar 01, 1990 (Feb)",4:00,2.60%,,0.70%
"Feb 01, 1990 (Jan)",4:00,0.70%,,-0.70%
"Jan 01, 1990 (Dec)",4:00,-0.70%,,-0.70%
"Dec 01, 1989 (Nov)",4:00,-0.70%,,0.70%
"Nov 01, 1989 (Oct)",4:00,0.70%,,-1.70%
"Oct 01, 1989 (Sep)",4:00,-1.70%,,-0.90%
"Sep 01, 1989 (Aug)",4:00,-0.90%,,-0.20%
"Aug 01, 1989 (Jul)",4:00,-0.20%,,-0.90%
"Jul 01, 1989 (Jun)",4:00,-0.90%,,0.60%
"Jun 01, 1989 (May)",4:00,0.60%,,0.90%
"May 01, 1989 (Apr)",4:00,0.90%,,3.10%
"Apr 01, 1989 (Mar)",4:00,3.10%,,0.40%
"Mar 01, 1989 (Feb)",4:00,0.40%,,2.80%
"Feb 01, 1989 (Jan)",4:00,2.80%,,0.90%
