Release Date,Time,Actual,Forecast,Previous,
01-May-08,9:00,48.6,48,48.6,
01-Apr-08,9:00,48.6,47.5,48.3,
03-Mar-08,10:00,48.3,48,50.7,
"Feb 01, 2008 (Jan)",4:00,50.3,,49,
"Jan 01, 2008 (Dec)",4:00,49,,50.5,
"Dec 01, 2007 (Nov)",4:00,50.5,,51.1,
"Nov 01, 2007 (Oct)",4:00,51.1,,51,
"Oct 01, 2007 (Sep)",4:00,51,,50.9,
"Sep 01, 2007 (Aug)",4:00,50.9,,52.4,
"Aug 01, 2007 (Jul)",4:00,52.4,,52.6,
"Jul 01, 2007 (Jun)",4:00,52.6,,52.5,
"Jun 01, 2007 (May)",4:00,52.5,,52.6,
"May 01, 2007 (Apr)",4:00,52.6,,50.7,
"Apr 01, 2007 (Mar)",4:00,50.7,,51.9,
"Mar 01, 2007 (Feb)",4:00,51.9,,49.5,
"Feb 01, 2007 (Jan)",4:00,49.5,,51.4,
"Jan 01, 2007 (Dec)",4:00,51.4,,50.3,
"Dec 01, 2006 (Nov)",4:00,50.3,,51.4,
"Nov 01, 2006 (Oct)",4:00,51.4,,52.2,
"Oct 01, 2006 (Sep)",4:00,52.2,,53.7,
"Sep 01, 2006 (Aug)",4:00,53.7,,53,
"Aug 01, 2006 (Jul)",4:00,53,,52,
"Jul 01, 2006 (Jun)",4:00,52,,53.7,
"Jun 01, 2006 (May)",4:00,53.7,,55.2,
"May 01, 2006 (Apr)",4:00,55.2,,54.3,
"Apr 01, 2006 (Mar)",4:00,54.3,,55.8,
"Mar 01, 2006 (Feb)",4:00,55.8,,55,
"Feb 01, 2006 (Jan)",4:00,55,,55.1,
"Jan 01, 2006 (Dec)",4:00,55.1,,56.7,
"Dec 01, 2005 (Nov)",4:00,56.7,,57.2,
"Nov 01, 2005 (Oct)",4:00,57.2,,56.8,
"Oct 01, 2005 (Sep)",4:00,56.8,,52.4,
"Sep 01, 2005 (Aug)",4:00,52.4,,52.8,
"Aug 01, 2005 (Jul)",4:00,52.8,,52.4,
"Jul 01, 2005 (Jun)",4:00,52.4,,50.8,
"Jun 01, 2005 (May)",4:00,50.8,,52.2,
"May 01, 2005 (Apr)",4:00,52.2,,55.2,
"Apr 01, 2005 (Mar)",4:00,55.2,,55.5,
"Mar 01, 2005 (Feb)",4:00,55.5,,56.8,
"Feb 01, 2005 (Jan)",4:00,56.8,,57.2,
"Jan 01, 2005 (Dec)",4:00,57.2,,56.2,
"Dec 01, 2004 (Nov)",4:00,56.2,,56.3,
"Nov 01, 2004 (Oct)",4:00,56.3,,57.4,
"Oct 01, 2004 (Sep)",4:00,57.4,,58.5,
"Sep 01, 2004 (Aug)",4:00,58.5,,59.9,
"Aug 01, 2004 (Jul)",4:00,59.9,,60.5,
"Jul 01, 2004 (Jun)",4:00,60.5,,61.4,
"Jun 01, 2004 (May)",4:00,61.4,,60.6,
"May 01, 2004 (Apr)",4:00,60.6,,60.6,
"Apr 01, 2004 (Mar)",4:00,60.6,,59.9,
"Mar 01, 2004 (Feb)",4:00,59.9,,60.8,
"Feb 01, 2004 (Jan)",4:00,60.8,,60.1,
"Jan 01, 2004 (Dec)",4:00,60.1,,58.4,
"Dec 01, 2003 (Nov)",4:00,58.4,,55.2,
"Nov 01, 2003 (Oct)",4:00,55.2,,52.4,
"Oct 01, 2003 (Sep)",4:00,52.4,,53.2,
"Sep 01, 2003 (Aug)",4:00,53.2,,51,
"Aug 01, 2003 (Jul)",4:00,51,,49,
"Jul 01, 2003 (Jun)",4:00,49,,49,
"Jun 01, 2003 (May)",4:00,49,,46.1,
"May 01, 2003 (Apr)",4:00,46.1,,46.3,
"Apr 01, 2003 (Mar)",4:00,46.3,,48.8,
"Mar 01, 2003 (Feb)",4:00,48.8,,51.3,
"Feb 01, 2003 (Jan)",4:00,51.3,,51.6,
"Jan 01, 2003 (Dec)",4:00,51.6,,48.5,
"Dec 01, 2002 (Nov)",4:00,48.5,,49,
"Nov 01, 2002 (Oct)",4:00,49,,50.5,
"Oct 01, 2002 (Sep)",4:00,50.5,,50.3,
"Sep 01, 2002 (Aug)",4:00,50.3,,50.2,
"Aug 01, 2002 (Jul)",4:00,50.2,,53.6,
"Jul 01, 2002 (Jun)",4:00,53.6,,53.1,
"Jun 01, 2002 (May)",4:00,53.1,,52.4,
"May 01, 2002 (Apr)",4:00,52.4,,52.4,
"Apr 01, 2002 (Mar)",4:00,52.4,,50.7,
"Mar 01, 2002 (Feb)",4:00,50.7,,47.5,
"Feb 01, 2002 (Jan)",4:00,47.5,,45.3,
"Jan 01, 2002 (Dec)",4:00,45.3,,44.1,
"Dec 01, 2001 (Nov)",4:00,44.1,,40.8,
"Nov 01, 2001 (Oct)",4:00,40.8,,46.2,
"Oct 01, 2001 (Sep)",4:00,46.2,,46.3,
"Sep 01, 2001 (Aug)",4:00,46.3,,43.5,
"Aug 01, 2001 (Jul)",4:00,43.5,,43.2,
"Jul 01, 2001 (Jun)",4:00,43.2,,41.3,
"Jun 01, 2001 (May)",4:00,41.3,,42.7,
"May 01, 2001 (Apr)",4:00,42.7,,43.1,
"Apr 01, 2001 (Mar)",4:00,43.1,,42.1,
"Mar 01, 2001 (Feb)",4:00,42.1,,42.3,
"Feb 01, 2001 (Jan)",4:00,42.3,,43.9,
"Jan 01, 2001 (Dec)",4:00,43.9,,48.5,
"Dec 01, 2000 (Nov)",4:00,48.5,,48.7,
"Nov 01, 2000 (Oct)",4:00,48.7,,49.7,
"Oct 01, 2000 (Sep)",4:00,49.7,,49.9,
"Sep 01, 2000 (Aug)",4:00,49.9,,52.5,
"Aug 01, 2000 (Jul)",4:00,52.5,,51.4,
"Jul 01, 2000 (Jun)",4:00,51.4,,53.2,
"Jun 01, 2000 (May)",4:00,53.2,,54.7,
"May 01, 2000 (Apr)",4:00,54.7,,54.9,
"Apr 01, 2000 (Mar)",4:00,54.9,,55.8,
"Mar 01, 2000 (Feb)",4:00,55.8,,56.7,
"Feb 01, 2000 (Jan)",4:00,56.7,,57.8,
"Jan 01, 2000 (Dec)",4:00,57.8,,58.1,
"Dec 01, 1999 (Nov)",4:00,58.1,,57.2,
"Nov 01, 1999 (Oct)",4:00,57.2,,57,
"Oct 01, 1999 (Sep)",4:00,57,,54.8,
"Sep 01, 1999 (Aug)",4:00,54.8,,53.6,
"Aug 01, 1999 (Jul)",4:00,53.6,,55.8,
"Jul 01, 1999 (Jun)",4:00,55.8,,54.3,
"Jun 01, 1999 (May)",4:00,54.3,,52.3,
"May 01, 1999 (Apr)",4:00,52.3,,52.4,
"Apr 01, 1999 (Mar)",4:00,52.4,,51.7,
"Mar 01, 1999 (Feb)",4:00,51.7,,50.6,
"Feb 01, 1999 (Jan)",4:00,50.6,,46.8,
"Jan 01, 1999 (Dec)",4:00,46.8,,48.2,
"Dec 01, 1998 (Nov)",4:00,48.2,,48.7,
"Nov 01, 1998 (Oct)",4:00,48.7,,48.7,
"Oct 01, 1998 (Sep)",4:00,48.7,,49.3,
"Sep 01, 1998 (Aug)",4:00,49.3,,49.2,
"Aug 01, 1998 (Jul)",4:00,49.2,,48.9,
"Jul 01, 1998 (Jun)",4:00,48.9,,50.9,
"Jun 01, 1998 (May)",4:00,50.9,,52.2,
"May 01, 1998 (Apr)",4:00,52.2,,52.9,
"Apr 01, 1998 (Mar)",4:00,52.9,,52.9,
"Mar 01, 1998 (Feb)",4:00,52.9,,53.8,
"Feb 01, 1998 (Jan)",4:00,53.8,,54.5,
"Jan 01, 1998 (Dec)",4:00,54.5,,55.7,
"Dec 01, 1997 (Nov)",4:00,55.7,,56.4,
"Nov 01, 1997 (Oct)",4:00,56.4,,53.9,
"Oct 01, 1997 (Sep)",4:00,53.9,,56.3,
"Sep 01, 1997 (Aug)",4:00,56.3,,57.7,
"Aug 01, 1997 (Jul)",4:00,57.7,,54.9,
"Jul 01, 1997 (Jun)",4:00,54.9,,56.1,
"Jun 01, 1997 (May)",4:00,56.1,,53.7,
"May 01, 1997 (Apr)",4:00,53.7,,53.8,
"Apr 01, 1997 (Mar)",4:00,53.8,,53.1,
"Mar 01, 1997 (Feb)",4:00,53.1,,53.8,
"Feb 01, 1997 (Jan)",4:00,53.8,,55.2,
"Jan 01, 1997 (Dec)",4:00,55.2,,53,
"Dec 01, 1996 (Nov)",4:00,53,,50.5,
"Nov 01, 1996 (Oct)",4:00,50.5,,51.1,
"Oct 01, 1996 (Sep)",4:00,51.1,,51.6,
"Sep 01, 1996 (Aug)",4:00,51.6,,49.7,
"Aug 01, 1996 (Jul)",4:00,49.7,,53.6,
"Jul 01, 1996 (Jun)",4:00,53.6,,49.1,
"Jun 01, 1996 (May)",4:00,49.1,,49.3,
"May 01, 1996 (Apr)",4:00,49.3,,46.9,
"Apr 01, 1996 (Mar)",4:00,46.9,,45.9,
"Mar 01, 1996 (Feb)",4:00,45.9,,45.5,
"Feb 01, 1996 (Jan)",4:00,45.5,,46.2,
"Jan 01, 1996 (Dec)",4:00,46.2,,45.9,
"Dec 01, 1995 (Nov)",4:00,45.9,,46.7,
"Nov 01, 1995 (Oct)",4:00,46.7,,48.1,
"Oct 01, 1995 (Sep)",4:00,48.1,,47.1,
"Sep 01, 1995 (Aug)",4:00,47.1,,50.7,
"Aug 01, 1995 (Jul)",4:00,50.7,,45.9,
"Jul 01, 1995 (Jun)",4:00,45.9,,46.7,
"Jun 01, 1995 (May)",4:00,46.7,,51.5,
"May 01, 1995 (Apr)",4:00,51.5,,52.1,
"Apr 01, 1995 (Mar)",4:00,52.1,,55.1,
"Mar 01, 1995 (Feb)",4:00,55.1,,57.4,
"Feb 01, 1995 (Jan)",4:00,57.4,,56.1,
"Jan 01, 1995 (Dec)",4:00,56.1,,59.2,
"Dec 01, 1994 (Nov)",4:00,59.2,,59.4,
"Nov 01, 1994 (Oct)",4:00,59.4,,59,
"Oct 01, 1994 (Sep)",4:00,59,,58,
"Sep 01, 1994 (Aug)",4:00,58,,58.5,
"Aug 01, 1994 (Jul)",4:00,58.5,,58.8,
"Jul 01, 1994 (Jun)",4:00,58.8,,58.2,
"Jun 01, 1994 (May)",4:00,58.2,,57.4,
"May 01, 1994 (Apr)",4:00,57.4,,56.9,
"Apr 01, 1994 (Mar)",4:00,56.9,,56.5,
"Mar 01, 1994 (Feb)",4:00,56.5,,56,
"Feb 01, 1994 (Jan)",4:00,56,,55.6,
"Jan 01, 1994 (Dec)",4:00,55.6,,53.8,
"Dec 01, 1993 (Nov)",4:00,53.8,,53.4,
"Nov 01, 1993 (Oct)",4:00,53.4,,50.8,
"Oct 01, 1993 (Sep)",4:00,50.8,,50.7,
"Sep 01, 1993 (Aug)",4:00,50.7,,50.2,
"Aug 01, 1993 (Jul)",4:00,50.2,,49.6,
"Jul 01, 1993 (Jun)",4:00,49.6,,51.2,
"Jun 01, 1993 (May)",4:00,51.2,,50.2,
"May 01, 1993 (Apr)",4:00,50.2,,53.5,
"Apr 01, 1993 (Mar)",4:00,53.5,,55.2,
"Mar 01, 1993 (Feb)",4:00,55.2,,55.8,
"Feb 01, 1993 (Jan)",4:00,55.8,,54.2,
"Jan 01, 1993 (Dec)",4:00,54.2,,53.6,
"Dec 01, 1992 (Nov)",4:00,53.6,,50.3,
"Nov 01, 1992 (Oct)",4:00,50.3,,49.7,
"Oct 01, 1992 (Sep)",4:00,49.7,,53.4,
"Sep 01, 1992 (Aug)",4:00,53.4,,53.9,
"Aug 01, 1992 (Jul)",4:00,53.9,,53.6,
"Jul 01, 1992 (Jun)",4:00,53.6,,55.7,
"Jun 01, 1992 (May)",4:00,55.7,,52.6,
"May 01, 1992 (Apr)",4:00,52.6,,54.6,
"Apr 01, 1992 (Mar)",4:00,54.6,,52.7,
"Mar 01, 1992 (Feb)",4:00,52.7,,47.3,
"Feb 01, 1992 (Jan)",4:00,47.3,,46.8,
"Jan 01, 1992 (Dec)",4:00,46.8,,49.5,
"Dec 01, 1991 (Nov)",4:00,49.5,,53.1,
"Nov 01, 1991 (Oct)",4:00,53.1,,54.9,
"Oct 01, 1991 (Sep)",4:00,54.9,,52.9,
"Sep 01, 1991 (Aug)",4:00,52.9,,50.6,
"Aug 01, 1991 (Jul)",4:00,50.6,,50.3,
"Jul 01, 1991 (Jun)",4:00,50.3,,44.5,
"Jun 01, 1991 (May)",4:00,44.5,,42.8,
"May 01, 1991 (Apr)",4:00,42.8,,40.7,
"Apr 01, 1991 (Mar)",4:00,40.7,,39.4,
"Mar 01, 1991 (Feb)",4:00,39.4,,39.2,
"Feb 01, 1991 (Jan)",4:00,39.2,,40.8,
"Jan 01, 1991 (Dec)",4:00,40.8,,41.3,
"Dec 01, 1990 (Nov)",4:00,41.3,,43.2,
"Nov 01, 1990 (Oct)",4:00,43.2,,44.5,
"Oct 01, 1990 (Sep)",4:00,44.5,,46.1,
"Sep 01, 1990 (Aug)",4:00,46.1,,46.6,
"Aug 01, 1990 (Jul)",4:00,46.6,,49.2,
"Jul 01, 1990 (Jun)",4:00,49.2,,49.5,
"Jun 01, 1990 (May)",4:00,49.5,,50,
"May 01, 1990 (Apr)",4:00,50,,49.9,
"Apr 01, 1990 (Mar)",4:00,49.9,,49.1,
"Mar 01, 1990 (Feb)",4:00,49.1,,47.2,
"Feb 01, 1990 (Jan)",4:00,47.2,,47.4,
"Jan 01, 1990 (Dec)",4:00,47.4,,46.8,
"Dec 01, 1989 (Nov)",4:00,46.8,,46.8,
"Nov 01, 1989 (Oct)",4:00,46.8,,46,
"Oct 01, 1989 (Sep)",4:00,46,,45.1,
"Sep 01, 1989 (Aug)",4:00,45.1,,45.9,
"Aug 01, 1989 (Jul)",4:00,45.9,,47.3,
"Jul 01, 1989 (Jun)",4:00,47.3,,49.3,
"Jun 01, 1989 (May)",4:00,49.3,,52.2,
"May 01, 1989 (Apr)",4:00,52.2,,51.5,
"Apr 01, 1989 (Mar)",4:00,51.5,,54.1,
"Mar 01, 1989 (Feb)",4:00,54.1,,54.7,
"Feb 01, 1989 (Jan)",4:00,54.7,,56,
"Jan 01, 1989 (Dec)",4:00,56,,55.6,
"Dec 01, 1988 (Nov)",4:00,55.6,,55.4,
"Nov 01, 1988 (Oct)",4:00,55.4,,54.5,
"Oct 01, 1988 (Sep)",4:00,54.5,,56,
"Sep 01, 1988 (Aug)",4:00,56,,58.2,
"Aug 01, 1988 (Jul)",4:00,58.2,,59.3,
"Jul 01, 1988 (Jun)",4:00,59.3,,55.5,
"Jun 01, 1988 (May)",4:00,55.5,,55.8,
"May 01, 1988 (Apr)",4:00,55.8,,54.6,
"Apr 01, 1988 (Mar)",4:00,54.6,,56.2,
"Mar 01, 1988 (Feb)",4:00,56.2,,57.5,
"Feb 01, 1988 (Jan)",4:00,57.5,,61,
"Jan 01, 1988 (Dec)",4:00,61,,58.8,
"Dec 01, 1987 (Nov)",4:00,58.8,,60.7,
"Nov 01, 1987 (Oct)",4:00,60.7,,60,
"Oct 01, 1987 (Sep)",4:00,60,,59.3,
"Sep 01, 1987 (Aug)",4:00,59.3,,57.5,
"Aug 01, 1987 (Jul)",4:00,57.5,,57.4,
"Jul 01, 1987 (Jun)",4:00,57.4,,57.2,
"Jun 01, 1987 (May)",4:00,57.2,,55.5,
"May 01, 1987 (Apr)",4:00,55.5,,55,
"Apr 01, 1987 (Mar)",4:00,55,,52.6,
"Mar 01, 1987 (Feb)",4:00,52.6,,54.9,
"Feb 01, 1987 (Jan)",4:00,54.9,,50.5,
"Jan 01, 1987 (Dec)",4:00,50.5,,51.2,
"Dec 01, 1986 (Nov)",4:00,51.2,,51.2,
"Nov 01, 1986 (Oct)",4:00,51.2,,52.4,
"Oct 01, 1986 (Sep)",4:00,52.4,,52.6,
"Sep 01, 1986 (Aug)",4:00,52.6,,48,
"Aug 01, 1986 (Jul)",4:00,48,,50.5,
"Jul 01, 1986 (Jun)",4:00,50.5,,53.4,
"Jun 01, 1986 (May)",4:00,53.4,,49.7,
"May 01, 1986 (Apr)",4:00,49.7,,51,
"Apr 01, 1986 (Mar)",4:00,51,,51,
"Mar 01, 1986 (Feb)",4:00,51,,51.2,
"Feb 01, 1986 (Jan)",4:00,51.2,,50.7,
"Jan 01, 1986 (Dec)",4:00,50.7,,52,
"Dec 01, 1985 (Nov)",4:00,52,,50.9,
"Nov 01, 1985 (Oct)",4:00,50.9,,49.9,
"Oct 01, 1985 (Sep)",4:00,49.9,,47.7,
