Release Date,Time,Actual,Forecast,Previous,
05-Mar-08,10:00,49.3,47.6,44.6,
"Feb 01, 2008 (Jan)",4:00,45,,52.5,
"Jan 01, 2008 (Dec)",4:00,52.5,,52.7,
"Dec 01, 2007 (Nov)",4:00,52.7,,53.5,
"Nov 01, 2007 (Oct)",4:00,53.5,,52.5,
"Oct 01, 2007 (Sep)",4:00,52.5,,52.8,
"Sep 01, 2007 (Aug)",4:00,52.8,,53.6,
"Aug 01, 2007 (Jul)",4:00,53.6,,55.3,
"Jul 01, 2007 (Jun)",4:00,55.3,,54.2,
"Jun 01, 2007 (May)",4:00,54.2,,53.3,
"May 01, 2007 (Apr)",4:00,53.3,,52,
"Apr 01, 2007 (Mar)",4:00,52,,54.2,
"Mar 01, 2007 (Feb)",4:00,54.2,,55.6,
"Feb 01, 2007 (Jan)",4:00,55.6,,53.7,
"Jan 01, 2007 (Dec)",4:00,53.7,,54.5,
"Dec 01, 2006 (Nov)",4:00,54.5,,54.9,
"Nov 01, 2006 (Oct)",4:00,54.9,,54.5,
"Oct 01, 2006 (Sep)",4:00,54.5,,53.9,
"Sep 01, 2006 (Aug)",4:00,53.9,,55.6,
"Aug 01, 2006 (Jul)",4:00,55.6,,55.2,
"Jul 01, 2006 (Jun)",4:00,55.2,,57,
"Jun 01, 2006 (May)",4:00,57,,58.4,
"May 01, 2006 (Apr)",4:00,58.4,,56.9,
"Apr 01, 2006 (Mar)",4:00,56.9,,57.6,
"Mar 01, 2006 (Feb)",4:00,57.6,,56.3,
"Feb 01, 2006 (Jan)",4:00,56.3,,59,
"Jan 01, 2006 (Dec)",4:00,59,,59.1,
"Dec 01, 2005 (Nov)",4:00,59.1,,57.4,
"Nov 01, 2005 (Oct)",4:00,57.4,,55.7,
"Oct 01, 2005 (Sep)",4:00,55.7,,61.3,
"Sep 01, 2005 (Aug)",4:00,61.3,,59.5,
"Aug 01, 2005 (Jul)",4:00,59.5,,58.1,
"Jul 01, 2005 (Jun)",4:00,58.1,,55.3,
"Jun 01, 2005 (May)",4:00,55.3,,55.6,
"May 01, 2005 (Apr)",4:00,55.6,,58,
"Apr 01, 2005 (Mar)",4:00,58,,59.4,
"Mar 01, 2005 (Feb)",4:00,59.4,,58,
"Feb 01, 2005 (Jan)",4:00,58,,59.6,
"Jan 01, 2005 (Dec)",4:00,59.6,,58.4,
"Dec 01, 2004 (Nov)",4:00,58.4,,58.8,
"Nov 01, 2004 (Oct)",4:00,58.8,,57.9,
"Oct 01, 2004 (Sep)",4:00,57.9,,57.3,
"Sep 01, 2004 (Aug)",4:00,57.3,,58.5,
"Aug 01, 2004 (Jul)",4:00,58.5,,58.6,
"Jul 01, 2004 (Jun)",4:00,58.6,,58.5,
"Jun 01, 2004 (May)",4:00,58.5,,59.6,
"May 01, 2004 (Apr)",4:00,59.6,,58.3,
"Apr 01, 2004 (Mar)",4:00,58.3,,58,
"Mar 01, 2004 (Feb)",4:00,58,,61.2,
"Feb 01, 2004 (Jan)",4:00,61.2,,56.8,
"Jan 01, 2004 (Dec)",4:00,56.8,,57.5,
"Dec 01, 2003 (Nov)",4:00,57.5,,58.7,
"Nov 01, 2003 (Oct)",4:00,58.7,,57.6,
"Oct 01, 2003 (Sep)",4:00,57.6,,59.1,
"Sep 01, 2003 (Aug)",4:00,59.1,,57.3,
"Aug 01, 2003 (Jul)",4:00,57.3,,54.3,
"Jul 01, 2003 (Jun)",4:00,54.3,,52.8,
"Jun 01, 2003 (May)",4:00,52.8,,50.1,
"May 01, 2003 (Apr)",4:00,50.1,,49.1,
"Apr 01, 2003 (Mar)",4:00,49.1,,52.6,
"Mar 01, 2003 (Feb)",4:00,52.6,,53.3,
"Feb 01, 2003 (Jan)",4:00,53.3,,52.3,
"Jan 01, 2003 (Dec)",4:00,52.3,,52.9,
"Dec 01, 2002 (Nov)",4:00,52.9,,51.4,
"Nov 01, 2002 (Oct)",4:00,51.4,,52.3,
"Oct 01, 2002 (Sep)",4:00,52.3,,50.9,
"Sep 01, 2002 (Aug)",4:00,50.9,,50.4,
"Aug 01, 2002 (Jul)",4:00,50.4,,52.5,
"Jul 01, 2002 (Jun)",4:00,52.5,,54.8,
"Jun 01, 2002 (May)",4:00,54.8,,53.5,
"May 01, 2002 (Apr)",4:00,53.5,,52.8,
"Apr 01, 2002 (Mar)",4:00,52.8,,52.7,
"Mar 01, 2002 (Feb)",4:00,52.7,,48.9,
"Feb 01, 2002 (Jan)",4:00,48.9,,49.7,
"Jan 01, 2002 (Dec)",4:00,49.7,,48.2,
"Dec 01, 2001 (Nov)",4:00,48.2,,44.8,
"Nov 01, 2001 (Oct)",4:00,44.8,,49.5,
"Oct 01, 2001 (Sep)",4:00,49.5,,46.9,
"Sep 01, 2001 (Aug)",4:00,46.9,,48.1,
"Aug 01, 2001 (Jul)",4:00,48.1,,50.1,
"Jul 01, 2001 (Jun)",4:00,50.1,,49,
"Jun 01, 2001 (May)",4:00,49,,48.3,
"May 01, 2001 (Apr)",4:00,48.3,,50.7,
"Apr 01, 2001 (Mar)",4:00,50.7,,51.3,
"Mar 01, 2001 (Feb)",4:00,51.3,,51.6,
"Feb 01, 2001 (Jan)",4:00,51.6,,54,
"Jan 01, 2001 (Dec)",4:00,54,,56.2,
"Dec 01, 2000 (Nov)",4:00,56.2,,56.7,
"Nov 01, 2000 (Oct)",4:00,56.7,,56.7,
"Oct 01, 2000 (Sep)",4:00,56.7,,57.6,
"Sep 01, 2000 (Aug)",4:00,57.6,,55.3,
"Aug 01, 2000 (Jul)",4:00,55.3,,56.9,
"Jul 01, 2000 (Jun)",4:00,56.9,,57.7,
"Jun 01, 2000 (May)",4:00,57.7,,58,
"May 01, 2000 (Apr)",4:00,58,,57.4,
"Apr 01, 2000 (Mar)",4:00,57.4,,56.2,
"Mar 01, 2000 (Feb)",4:00,56.2,,56.6,
"Feb 01, 2000 (Jan)",4:00,56.6,,56.9,
"Jan 01, 2000 (Dec)",4:00,56.9,,54.9,
"Dec 01, 1999 (Nov)",4:00,54.9,,57.6,
"Nov 01, 1999 (Oct)",4:00,57.6,,56.2,
"Oct 01, 1999 (Sep)",4:00,56.2,,56.4,
"Sep 01, 1999 (Aug)",4:00,56.4,,56.2,
"Aug 01, 1999 (Jul)",4:00,56.2,,56.7,
"Jul 01, 1999 (Jun)",4:00,56.7,,55.3,
"Jun 01, 1999 (May)",4:00,55.3,,55.5,
"May 01, 1999 (Apr)",4:00,55.5,,55.3,
"Apr 01, 1999 (Mar)",4:00,55.3,,54.4,
"Mar 01, 1999 (Feb)",4:00,54.4,,55.6,
"Feb 01, 1999 (Jan)",4:00,55.6,,52.9,
"Jan 01, 1999 (Dec)",4:00,52.9,,52.6,
"Dec 01, 1998 (Nov)",4:00,52.6,,53.8,
"Nov 01, 1998 (Oct)",4:00,53.8,,55,
"Oct 01, 1998 (Sep)",4:00,55,,53.5,
"Sep 01, 1998 (Aug)",4:00,53.5,,55.8,
"Aug 01, 1998 (Jul)",4:00,55.8,,55.1,
"Jul 01, 1998 (Jun)",4:00,55.1,,56.2,
"Jun 01, 1998 (May)",4:00,56.2,,54.9,
"May 01, 1998 (Apr)",4:00,54.9,,54.7,
"Apr 01, 1998 (Mar)",4:00,54.7,,56.2,
"Mar 01, 1998 (Feb)",4:00,56.2,,57,
"Feb 01, 1998 (Jan)",4:00,57,,55.5,
"Jan 01, 1998 (Dec)",4:00,55.5,,58.5,
"Dec 01, 1997 (Nov)",4:00,58.5,,56.6,
"Nov 01, 1997 (Oct)",4:00,56.6,,56.2,
"Oct 01, 1997 (Sep)",4:00,56.2,,62,
"Sep 01, 1997 (Aug)",4:00,62,,56.7,
"Aug 01, 1997 (Jul)",4:00,56.7,,,
